Image,PixelCount,MeanTb,MinTb,MedianTb,CenterX,CenterY,MinRadius,MaxRadius,MeanRadius,CloudTopHeight
dummy_image_0.png,14,64.86,21.0,63.5,50.5,4.29,0.58,3.61,1.9,53.8
dummy_image_0.png,1,67.0,67.0,67.0,54.0,1.0,0.0,0.0,0.0,44.6
dummy_image_0.png,3,41.67,25.0,34.0,2.67,2.67,0.47,0.75,0.65,53.0
dummy_image_0.png,2,49.0,48.0,49.0,8.0,2.5,0.5,0.5,0.5,48.4
dummy_image_0.png,47,53.66,1.0,61.0,11.53,9.19,1.48,7.21,3.91,57.8
dummy_image_0.png,5,38.2,1.0,29.0,15.2,3.0,0.2,1.28,0.9,57.8
dummy_image_0.png,1,29.0,29.0,29.0,21.0,2.0,0.0,0.0,0.0,52.2
dummy_image_0.png,2,75.0,55.0,75.0,41.0,2.5,0.5,0.5,0.5,47.0
dummy_image_0.png,1,23.0,23.0,23.0,43.0,2.0,0.0,0.0,0.0,53.4
dummy_image_0.png,1,68.0,68.0,68.0,46.0,2.0,0.0,0.0,0.0,44.4
dummy_image_0.png,13,50.54,9.0,45.0,0.69,6.38,0.49,3.45,1.78,56.2
dummy_image_0.png,1,89.0,89.0,89.0,19.0,3.0,0.0,0.0,0.0,40.2
dummy_image_0.png,5,39.4,2.0,48.0,37.4,3.8,0.45,1.61,1.0,57.6
dummy_image_0.png,1,54.0,54.0,54.0,45.0,3.0,0.0,0.0,0.0,47.2
dummy_image_0.png,3,67.67,34.0,71.0,48.33,3.67,0.47,0.75,0.65,51.2
dummy_image_0.png,1,72.0,72.0,72.0,53.0,3.0,0.0,0.0,0.0,43.6
dummy_image_0.png,1,32.0,32.0,32.0,55.0,3.0,0.0,0.0,0.0,51.6
dummy_image_0.png,3,27.67,18.0,31.0,58.67,3.67,0.47,0.75,0.65,54.4
dummy_image_0.png,3,49.33,34.0,40.0,6.67,4.67,0.47,0.75,0.65,51.2
dummy_image_0.png,2,82.5,66.0,82.5,20.5,4.0,0.5,0.5,0.5,44.8
dummy_image_0.png,1,84.0,84.0,84.0,23.0,4.0,0.0,0.0,0.0,41.2
dummy_image_0.png,7,41.57,14.0,30.0,26.57,4.86,0.45,1.83,1.12,55.2
dummy_image_0.png,3,22.0,17.0,20.0,32.67,4.67,0.47,0.75,0.65,54.6
dummy_image_0.png,3,18.67,0.0,2.0,44.0,5.0,0.0,1.0,0.67,58.0
dummy_image_0.png,1,9.0,9.0,9.0,56.0,4.0,0.0,0.0,0.0,56.2
dummy_image_0.png,3,40.0,25.0,47.0,60.67,4.67,0.47,0.75,0.65,53.0
dummy_image_0.png,6,55.5,10.0,52.0,17.33,5.5,0.6,1.74,1.12,56.0
dummy_image_0.png,1,64.0,64.0,64.0,35.0,5.0,0.0,0.0,0.0,45.2
dummy_image_0.png,1,7.0,7.0,7.0,41.0,5.0,0.0,0.0,0.0,56.6
dummy_image_0.png,3,24.67,9.0,18.0,46.33,5.67,0.47,0.75,0.65,56.2
dummy_image_0.png,1,62.0,62.0,62.0,55.0,5.0,0.0,0.0,0.0,45.6
dummy_image_0.png,1,96.0,96.0,96.0,63.0,5.0,0.0,0.0,0.0,38.8
dummy_image_0.png,1,92.0,92.0,92.0,20.0,6.0,0.0,0.0,0.0,39.6
dummy_image_0.png,3,47.33,12.0,39.0,22.33,6.67,0.47,0.75,0.65,55.6
dummy_image_0.png,1,18.0,18.0,18.0,25.0,6.0,0.0,0.0,0.0,54.4
dummy_image_0.png,1,94.0,94.0,94.0,34.0,6.0,0.0,0.0,0.0,39.2
dummy_image_0.png,9,61.33,21.0,57.0,36.33,8.89,0.35,3.13,1.77,53.8
dummy_image_0.png,1,44.0,44.0,44.0,54.0,6.0,0.0,0.0,0.0,49.2
dummy_image_0.png,1,7.0,7.0,7.0,57.0,6.0,0.0,0.0,0.0,56.6
dummy_image_0.png,1,1.0,1.0,1.0,4.0,7.0,0.0,0.0,0.0,57.8
dummy_image_0.png,1,58.0,58.0,58.0,6.0,7.0,0.0,0.0,0.0,46.4
dummy_image_0.png,4,59.75,23.0,63.0,8.0,7.5,0.5,1.12,0.81,53.4
dummy_image_0.png,3,35.33,13.0,25.0,29.33,7.33,0.47,0.75,0.65,55.4
dummy_image_0.png,6,70.33,29.0,77.0,39.17,7.67,0.37,1.95,1.18,52.2
dummy_image_0.png,6,41.0,9.0,35.0,47.83,8.17,0.24,1.18,0.91,56.2
dummy_image_0.png,8,56.25,38.0,59.5,56.38,8.88,0.64,2.22,1.36,50.4
dummy_image_0.png,1,94.0,94.0,94.0,58.0,7.0,0.0,0.0,0.0,39.2
dummy_image_0.png,1,96.0,96.0,96.0,60.0,7.0,0.0,0.0,0.0,38.8
dummy_image_0.png,9,62.33,35.0,67.0,62.33,9.11,0.35,2.21,1.46,51.0
dummy_image_0.png,23,49.39,0.0,48.0,20.7,12.22,0.73,5.49,2.92,58.0
dummy_image_0.png,12,53.33,14.0,52.5,26.33,10.42,0.53,3.36,1.88,55.2
dummy_image_0.png,2,18.5,16.0,18.5,33.5,8.0,0.5,0.5,0.5,54.8
dummy_image_0.png,1,1.0,1.0,1.0,42.0,8.0,0.0,0.0,0.0,57.8
dummy_image_0.png,1,87.0,87.0,87.0,45.0,8.0,0.0,0.0,0.0,40.6
dummy_image_0.png,1,51.0,51.0,51.0,61.0,8.0,0.0,0.0,0.0,47.8
dummy_image_0.png,1,47.0,47.0,47.0,5.0,9.0,0.0,0.0,0.0,48.6
dummy_image_0.png,2,47.5,13.0,47.5,30.0,9.5,0.5,0.5,0.5,55.4
dummy_image_0.png,5,45.0,12.0,46.0,50.4,9.4,0.57,1.65,1.04,55.6
dummy_image_0.png,1,6.0,6.0,6.0,60.0,9.0,0.0,0.0,0.0,56.8
dummy_image_0.png,7,48.86,6.0,49.0,1.14,11.29,0.32,1.55,1.02,56.8
dummy_image_0.png,1,38.0,38.0,38.0,4.0,10.0,0.0,0.0,0.0,50.4
dummy_image_0.png,1,12.0,12.0,12.0,8.0,10.0,0.0,0.0,0.0,55.6
dummy_image_0.png,1,32.0,32.0,32.0,12.0,10.0,0.0,0.0,0.0,51.6
dummy_image_0.png,1,24.0,24.0,24.0,17.0,10.0,0.0,0.0,0.0,53.2
dummy_image_0.png,8,60.0,11.0,62.5,32.5,11.25,0.56,1.68,1.12,55.8
dummy_image_0.png,3,31.67,4.0,42.0,38.67,10.67,0.47,0.75,0.65,57.2
dummy_image_0.png,1,87.0,87.0,87.0,43.0,10.0,0.0,0.0,0.0,40.6
dummy_image_0.png,23,52.04,4.0,58.0,45.7,14.48,0.57,4.53,2.61,57.2
dummy_image_0.png,1,56.0,56.0,56.0,53.0,10.0,0.0,0.0,0.0,46.8
dummy_image_0.png,1,92.0,92.0,92.0,59.0,10.0,0.0,0.0,0.0,39.6
dummy_image_0.png,1,55.0,55.0,55.0,6.0,11.0,0.0,0.0,0.0,47.0
dummy_image_0.png,5,57.4,11.0,74.0,17.6,12.2,0.45,1.26,0.85,55.8
dummy_image_0.png,2,57.0,55.0,57.0,44.0,11.5,0.5,0.5,0.5,47.0
dummy_image_0.png,1,44.0,44.0,44.0,51.0,11.0,0.0,0.0,0.0,49.2
dummy_image_0.png,1,47.0,47.0,47.0,54.0,11.0,0.0,0.0,0.0,48.6
dummy_image_0.png,1,19.0,19.0,19.0,4.0,12.0,0.0,0.0,0.0,54.2
dummy_image_0.png,1,22.0,22.0,22.0,29.0,12.0,0.0,0.0,0.0,53.6
dummy_image_0.png,1,49.0,49.0,49.0,41.0,12.0,0.0,0.0,0.0,48.2
dummy_image_0.png,1,94.0,94.0,94.0,49.0,12.0,0.0,0.0,0.0,39.2
dummy_image_0.png,1,21.0,21.0,21.0,53.0,12.0,0.0,0.0,0.0,53.8
dummy_image_0.png,1,81.0,81.0,81.0,56.0,12.0,0.0,0.0,0.0,41.8
dummy_image_0.png,16,51.19,5.0,51.0,60.31,14.19,0.36,3.52,2.2,57.0
dummy_image_0.png,1,78.0,78.0,78.0,3.0,13.0,0.0,0.0,0.0,42.4
dummy_image_0.png,1,42.0,42.0,42.0,22.0,13.0,0.0,0.0,0.0,49.6
dummy_image_0.png,1,84.0,84.0,84.0,30.0,13.0,0.0,0.0,0.0,41.2
dummy_image_0.png,4,71.5,51.0,75.0,39.25,14.25,0.35,1.27,0.87,47.8
dummy_image_0.png,4,40.0,0.0,40.5,50.75,14.0,0.25,1.03,0.77,58.0
dummy_image_0.png,1,81.0,81.0,81.0,54.0,13.0,0.0,0.0,0.0,41.8
dummy_image_0.png,1,25.0,25.0,25.0,63.0,13.0,0.0,0.0,0.0,53.0
dummy_image_0.png,2,45.0,0.0,45.0,0.0,14.5,0.5,0.5,0.5,58.0
dummy_image_0.png,1,71.0,71.0,71.0,2.0,14.0,0.0,0.0,0.0,43.8
dummy_image_0.png,9,55.0,16.0,55.0,4.11,15.56,0.46,1.79,1.22,54.8
dummy_image_0.png,1,7.0,7.0,7.0,25.0,14.0,0.0,0.0,0.0,56.6
dummy_image_0.png,8,46.75,8.0,49.5,34.88,14.75,0.28,2.14,1.38,56.4
dummy_image_0.png,1,47.0,47.0,47.0,41.0,14.0,0.0,0.0,0.0,48.6
dummy_image_0.png,2,24.0,9.0,24.0,55.5,14.0,0.5,0.5,0.5,56.2
dummy_image_0.png,1,63.0,63.0,63.0,14.0,15.0,0.0,0.0,0.0,45.4
dummy_image_0.png,1,8.0,8.0,8.0,16.0,15.0,0.0,0.0,0.0,56.4
dummy_image_0.png,1,30.0,30.0,30.0,18.0,15.0,0.0,0.0,0.0,52.0
dummy_image_0.png,3,49.0,24.0,26.0,31.33,15.67,0.47,0.75,0.65,53.2
dummy_image_0.png,1,27.0,27.0,27.0,42.0,15.0,0.0,0.0,0.0,52.6
dummy_image_0.png,2,34.5,25.0,34.5,53.5,15.0,0.5,0.5,0.5,53.0
dummy_image_0.png,1,63.0,63.0,63.0,57.0,15.0,0.0,0.0,0.0,45.4
dummy_image_0.png,1,76.0,76.0,76.0,59.0,15.0,0.0,0.0,0.0,42.8
dummy_image_0.png,3,57.0,15.0,62.0,1.33,16.67,0.47,0.75,0.65,55.0
dummy_image_0.png,5,36.0,17.0,35.0,8.4,16.8,0.45,1.26,0.85,54.6
dummy_image_0.png,14,60.93,11.0,69.5,12.14,18.79,0.26,3.01,1.76,55.8
dummy_image_0.png,57,46.0,0.0,44.0,30.12,19.54,0.47,9.0,4.57,58.0
dummy_image_0.png,1,34.0,34.0,34.0,43.0,16.0,0.0,0.0,0.0,51.2
dummy_image_0.png,1,44.0,44.0,44.0,56.0,16.0,0.0,0.0,0.0,49.2
dummy_image_0.png,9,56.33,21.0,61.0,58.44,18.22,0.5,2.27,1.44,53.8
dummy_image_0.png,2,8.0,4.0,8.0,21.0,17.5,0.5,0.5,0.5,57.2
dummy_image_0.png,4,35.75,8.0,40.5,38.0,17.5,0.5,1.12,0.81,56.4
dummy_image_0.png,7,49.14,6.0,55.0,41.29,18.14,0.32,1.88,1.21,56.8
dummy_image_0.png,1,28.0,28.0,28.0,50.0,17.0,0.0,0.0,0.0,52.4
dummy_image_0.png,6,65.5,8.0,80.5,52.5,17.83,0.53,1.72,1.09,56.4
dummy_image_0.png,1,59.0,59.0,59.0,6.0,18.0,0.0,0.0,0.0,46.2
dummy_image_0.png,1,22.0,22.0,22.0,36.0,18.0,0.0,0.0,0.0,53.6
dummy_image_0.png,2,29.0,16.0,29.0,48.5,18.0,0.5,0.5,0.5,54.8
dummy_image_0.png,1,12.0,12.0,12.0,56.0,18.0,0.0,0.0,0.0,55.6
dummy_image_0.png,2,61.5,49.0,61.5,63.0,18.5,0.5,0.5,0.5,48.2
dummy_image_0.png,5,41.0,5.0,48.0,1.8,19.6,0.45,1.26,0.85,57.0
dummy_image_0.png,1,15.0,15.0,15.0,17.0,19.0,0.0,0.0,0.0,55.0
dummy_image_0.png,4,29.5,9.0,32.5,20.25,20.0,0.25,1.03,0.77,56.2
dummy_image_0.png,1,56.0,56.0,56.0,37.0,19.0,0.0,0.0,0.0,46.8
dummy_image_0.png,18,61.67,20.0,67.5,52.72,22.61,0.48,3.83,2.18,54.0
dummy_image_0.png,3,34.67,16.0,33.0,4.67,20.67,0.47,0.75,0.65,54.8
dummy_image_0.png,1,1.0,1.0,1.0,45.0,20.0,0.0,0.0,0.0,57.8
dummy_image_0.png,1,84.0,84.0,84.0,47.0,20.0,0.0,0.0,0.0,41.2
dummy_image_0.png,1,76.0,76.0,76.0,61.0,20.0,0.0,0.0,0.0,42.8
dummy_image_0.png,4,28.75,5.0,14.0,8.5,21.5,0.71,0.71,0.71,57.0
dummy_image_0.png,1,48.0,48.0,48.0,16.0,21.0,0.0,0.0,0.0,48.4
dummy_image_0.png,1,71.0,71.0,71.0,44.0,21.0,0.0,0.0,0.0,43.8
dummy_image_0.png,2,62.0,49.0,62.0,49.5,21.0,0.5,0.5,0.5,48.2
dummy_image_0.png,2,45.0,36.0,45.0,56.5,21.0,0.5,0.5,0.5,50.8
dummy_image_0.png,2,24.0,12.0,24.0,60.0,21.5,0.5,0.5,0.5,55.6
dummy_image_0.png,1,41.0,41.0,41.0,0.0,22.0,0.0,0.0,0.0,49.8
dummy_image_0.png,6,50.33,9.0,47.5,2.17,23.17,0.24,1.43,1.05,56.2
dummy_image_0.png,1,21.0,21.0,21.0,17.0,22.0,0.0,0.0,0.0,53.8
dummy_image_0.png,1,74.0,74.0,74.0,22.0,22.0,0.0,0.0,0.0,43.2
dummy_image_0.png,4,43.25,11.0,36.5,41.0,22.5,0.5,1.12,0.81,55.8
dummy_image_0.png,3,48.0,7.0,60.0,62.67,22.33,0.47,0.75,0.65,56.6
dummy_image_0.png,1,37.0,37.0,37.0,4.0,23.0,0.0,0.0,0.0,50.6
dummy_image_0.png,1,34.0,34.0,34.0,10.0,23.0,0.0,0.0,0.0,51.2
dummy_image_0.png,2,80.0,73.0,80.0,14.5,23.0,0.5,0.5,0.5,43.4
dummy_image_0.png,1,16.0,16.0,16.0,19.0,23.0,0.0,0.0,0.0,54.8
dummy_image_0.png,11,48.91,2.0,52.0,24.45,25.55,0.71,2.93,1.65,57.6
dummy_image_0.png,1,38.0,38.0,38.0,46.0,23.0,0.0,0.0,0.0,50.4
dummy_image_0.png,3,32.33,17.0,37.0,48.67,23.33,0.47,0.75,0.65,54.6
dummy_image_0.png,7,48.14,5.0,41.0,56.71,24.43,0.52,1.73,1.06,57.0
dummy_image_0.png,9,57.44,26.0,57.0,7.67,25.11,0.35,2.89,1.63,52.8
dummy_image_0.png,6,40.0,4.0,38.0,28.5,24.83,0.53,1.72,1.09,57.2
dummy_image_0.png,1,33.0,33.0,33.0,39.0,24.0,0.0,0.0,0.0,51.4
dummy_image_0.png,2,83.0,75.0,83.0,43.5,24.0,0.5,0.5,0.5,43.0
dummy_image_0.png,1,33.0,33.0,33.0,47.0,24.0,0.0,0.0,0.0,51.4
dummy_image_0.png,2,38.0,13.0,38.0,61.0,24.5,0.5,0.5,0.5,55.4
dummy_image_0.png,1,98.0,98.0,98.0,4.0,25.0,0.0,0.0,0.0,38.4
dummy_image_0.png,1,85.0,85.0,85.0,12.0,25.0,0.0,0.0,0.0,41.0
dummy_image_0.png,1,18.0,18.0,18.0,14.0,25.0,0.0,0.0,0.0,54.4
dummy_image_0.png,4,52.75,36.0,57.0,21.25,25.25,0.35,1.27,0.87,50.8
dummy_image_0.png,1,47.0,47.0,47.0,33.0,25.0,0.0,0.0,0.0,48.6
dummy_image_0.png,1,70.0,70.0,70.0,37.0,25.0,0.0,0.0,0.0,44.0
dummy_image_0.png,1,7.0,7.0,7.0,41.0,25.0,0.0,0.0,0.0,56.6
dummy_image_0.png,2,75.0,66.0,75.0,59.0,25.5,0.5,0.5,0.5,44.8
dummy_image_0.png,27,46.0,0.0,37.0,61.15,30.15,0.86,5.47,2.79,58.0
dummy_image_0.png,3,26.0,11.0,17.0,1.0,26.0,0.0,1.0,0.67,55.8
dummy_image_0.png,3,22.0,3.0,11.0,16.0,26.0,0.0,1.0,0.67,57.4
dummy_image_0.png,3,41.67,10.0,34.0,19.33,26.67,0.47,0.75,0.65,56.0
dummy_image_0.png,1,42.0,42.0,42.0,38.0,26.0,0.0,0.0,0.0,49.6
dummy_image_0.png,5,36.6,7.0,41.0,40.4,26.8,0.45,1.61,1.0,56.6
dummy_image_0.png,1,4.0,4.0,4.0,43.0,26.0,0.0,0.0,0.0,57.2
dummy_image_0.png,1,91.0,91.0,91.0,45.0,26.0,0.0,0.0,0.0,39.8
dummy_image_0.png,7,44.14,10.0,45.0,49.14,26.86,0.2,2.31,1.43,56.0
dummy_image_0.png,1,58.0,58.0,58.0,6.0,27.0,0.0,0.0,0.0,46.4
dummy_image_0.png,25,50.04,2.0,52.0,12.92,29.88,0.88,6.21,3.28,57.6
dummy_image_0.png,2,29.5,2.0,29.5,14.0,27.5,0.5,0.5,0.5,57.6
dummy_image_0.png,2,62.5,30.0,62.5,30.5,27.0,0.5,0.5,0.5,52.0
dummy_image_0.png,1,39.0,39.0,39.0,35.0,27.0,0.0,0.0,0.0,50.2
dummy_image_0.png,2,58.5,27.0,58.5,37.0,27.5,0.5,0.5,0.5,52.6
dummy_image_0.png,1,38.0,38.0,38.0,55.0,27.0,0.0,0.0,0.0,50.4
dummy_image_0.png,1,75.0,75.0,75.0,0.0,28.0,0.0,0.0,0.0,43.0
dummy_image_0.png,7,41.0,1.0,35.0,4.14,29.71,0.32,1.72,1.11,57.8
dummy_image_0.png,1,83.0,83.0,83.0,16.0,28.0,0.0,0.0,0.0,41.4
dummy_image_0.png,6,41.17,4.0,28.5,28.17,29.33,0.37,1.86,1.2,57.2
dummy_image_0.png,1,9.0,9.0,9.0,32.0,28.0,0.0,0.0,0.0,56.2
dummy_image_0.png,1,34.0,34.0,34.0,44.0,28.0,0.0,0.0,0.0,51.2
dummy_image_0.png,1,71.0,71.0,71.0,47.0,28.0,0.0,0.0,0.0,43.8
dummy_image_0.png,2,59.0,23.0,59.0,53.0,28.5,0.5,0.5,0.5,53.4
dummy_image_0.png,1,1.0,1.0,1.0,57.0,28.0,0.0,0.0,0.0,57.8
dummy_image_0.png,4,51.75,35.0,50.5,21.5,30.0,0.5,1.12,0.81,51.0
dummy_image_0.png,1,13.0,13.0,13.0,34.0,29.0,0.0,0.0,0.0,55.4
dummy_image_0.png,12,49.67,9.0,53.5,41.08,31.75,0.26,3.45,1.84,56.2
dummy_image_0.png,2,65.5,41.0,65.5,42.5,29.0,0.5,0.5,0.5,49.8
dummy_image_0.png,1,81.0,81.0,81.0,46.0,29.0,0.0,0.0,0.0,41.8
dummy_image_0.png,1,38.0,38.0,38.0,50.0,29.0,0.0,0.0,0.0,50.4
dummy_image_0.png,3,29.33,8.0,31.0,55.67,29.33,0.47,0.75,0.65,56.4
dummy_image_0.png,1,22.0,22.0,22.0,58.0,29.0,0.0,0.0,0.0,53.6
dummy_image_0.png,1,2.0,2.0,2.0,24.0,30.0,0.0,0.0,0.0,57.6
dummy_image_0.png,6,51.83,2.0,59.5,26.0,31.17,0.17,1.3,0.99,57.6
dummy_image_0.png,2,55.0,15.0,55.0,31.5,30.0,0.5,0.5,0.5,55.0
dummy_image_0.png,17,55.0,6.0,54.0,34.65,32.76,0.42,2.94,1.89,56.8
dummy_image_0.png,2,48.5,3.0,48.5,44.5,30.0,0.5,0.5,0.5,57.4
dummy_image_0.png,1,89.0,89.0,89.0,47.0,30.0,0.0,0.0,0.0,40.2
dummy_image_0.png,6,47.5,20.0,44.5,49.17,31.0,0.17,1.83,1.09,54.0
dummy_image_0.png,1,79.0,79.0,79.0,52.0,30.0,0.0,0.0,0.0,42.2
dummy_image_0.png,1,94.0,94.0,94.0,23.0,31.0,0.0,0.0,0.0,39.2
dummy_image_0.png,7,50.14,9.0,60.0,53.71,31.86,0.32,1.55,1.02,56.2
dummy_image_0.png,2,62.5,41.0,62.5,0.0,32.5,0.5,0.5,0.5,49.8
dummy_image_0.png,2,21.5,19.0,21.5,5.0,32.5,0.5,0.5,0.5,54.2
dummy_image_0.png,3,38.67,16.0,49.0,7.67,32.33,0.47,0.75,0.65,54.8
dummy_image_0.png,7,39.43,18.0,27.0,10.43,34.0,0.43,2.08,1.29,54.4
dummy_image_0.png,1,59.0,59.0,59.0,20.0,32.0,0.0,0.0,0.0,46.2
dummy_image_0.png,3,27.0,0.0,31.0,30.67,32.33,0.47,0.75,0.65,58.0
dummy_image_0.png,1,27.0,27.0,27.0,21.0,33.0,0.0,0.0,0.0,52.6
dummy_image_0.png,1,38.0,38.0,38.0,28.0,33.0,0.0,0.0,0.0,50.4
dummy_image_0.png,2,40.5,39.0,40.5,40.0,33.5,0.5,0.5,0.5,50.2
dummy_image_0.png,1,54.0,54.0,54.0,45.0,33.0,0.0,0.0,0.0,47.2
dummy_image_0.png,1,24.0,24.0,24.0,56.0,33.0,0.0,0.0,0.0,53.2
dummy_image_0.png,1,16.0,16.0,16.0,1.0,34.0,0.0,0.0,0.0,54.8
dummy_image_0.png,1,75.0,75.0,75.0,3.0,34.0,0.0,0.0,0.0,43.0
dummy_image_0.png,2,53.5,19.0,53.5,6.5,34.0,0.5,0.5,0.5,54.2
dummy_image_0.png,1,34.0,34.0,34.0,12.0,34.0,0.0,0.0,0.0,51.2
dummy_image_0.png,3,42.33,4.0,31.0,14.67,34.67,0.47,0.75,0.65,57.2
dummy_image_0.png,1,14.0,14.0,14.0,30.0,34.0,0.0,0.0,0.0,55.2
dummy_image_0.png,9,36.89,5.0,21.0,48.44,35.11,0.46,2.56,1.45,57.0
dummy_image_0.png,1,68.0,68.0,68.0,52.0,34.0,0.0,0.0,0.0,44.4
dummy_image_0.png,1,87.0,87.0,87.0,5.0,35.0,0.0,0.0,0.0,40.6
dummy_image_0.png,3,62.33,23.0,78.0,7.67,35.67,0.47,0.75,0.65,53.4
dummy_image_0.png,4,40.25,0.0,35.0,16.75,36.0,0.25,1.03,0.77,58.0
dummy_image_0.png,1,57.0,57.0,57.0,41.0,35.0,0.0,0.0,0.0,46.6
dummy_image_0.png,17,43.06,0.0,41.0,52.0,37.65,0.35,4.22,2.13,58.0
dummy_image_0.png,2,20.0,3.0,20.0,56.0,35.5,0.5,0.5,0.5,57.4
dummy_image_0.png,3,60.0,42.0,69.0,58.67,35.67,0.47,0.75,0.65,49.6
dummy_image_0.png,3,37.67,11.0,13.0,61.67,35.33,0.47,0.75,0.65,55.8
dummy_image_0.png,7,55.57,17.0,67.0,2.43,37.71,0.52,2.03,1.26,54.6
dummy_image_0.png,6,45.33,12.0,40.5,23.0,36.17,0.17,2.01,1.17,55.6
dummy_image_0.png,1,4.0,4.0,4.0,27.0,36.0,0.0,0.0,0.0,57.2
dummy_image_0.png,5,72.0,53.0,79.0,36.6,36.2,0.45,1.61,1.0,47.4
dummy_image_0.png,1,84.0,84.0,84.0,40.0,36.0,0.0,0.0,0.0,41.2
dummy_image_0.png,5,65.8,22.0,79.0,41.2,37.2,0.28,1.44,0.96,53.6
dummy_image_0.png,1,77.0,77.0,77.0,45.0,36.0,0.0,0.0,0.0,42.6
dummy_image_0.png,1,98.0,98.0,98.0,5.0,37.0,0.0,0.0,0.0,38.4
dummy_image_0.png,1,96.0,96.0,96.0,10.0,37.0,0.0,0.0,0.0,38.8
dummy_image_0.png,1,81.0,81.0,81.0,12.0,37.0,0.0,0.0,0.0,41.8
dummy_image_0.png,1,75.0,75.0,75.0,14.0,37.0,0.0,0.0,0.0,43.0
dummy_image_0.png,2,40.5,4.0,40.5,28.0,37.5,0.5,0.5,0.5,57.2
dummy_image_0.png,1,92.0,92.0,92.0,30.0,37.0,0.0,0.0,0.0,39.6
dummy_image_0.png,1,10.0,10.0,10.0,32.0,37.0,0.0,0.0,0.0,56.0
dummy_image_0.png,1,60.0,60.0,60.0,48.0,37.0,0.0,0.0,0.0,46.0
dummy_image_0.png,8,59.25,21.0,69.0,58.12,38.25,0.28,1.89,1.15,53.8
dummy_image_0.png,3,52.0,25.0,40.0,8.0,38.0,0.0,1.0,0.67,53.0
dummy_image_0.png,2,47.0,47.0,47.0,15.0,38.5,0.5,0.5,0.5,48.6
dummy_image_0.png,1,33.0,33.0,33.0,19.0,38.0,0.0,0.0,0.0,51.4
dummy_image_0.png,7,43.43,0.0,41.0,22.29,38.86,0.32,1.72,1.12,58.0
dummy_image_0.png,2,48.5,27.0,48.5,25.5,38.0,0.5,0.5,0.5,52.6
dummy_image_0.png,1,39.0,39.0,39.0,31.0,38.0,0.0,0.0,0.0,50.2
dummy_image_0.png,2,82.0,69.0,82.0,33.0,38.5,0.5,0.5,0.5,44.2
dummy_image_0.png,12,36.08,2.0,35.5,46.0,40.0,0.0,3.61,1.92,57.6
dummy_image_0.png,2,68.5,56.0,68.5,62.5,38.0,0.5,0.5,0.5,46.8
dummy_image_0.png,5,39.0,0.0,29.0,0.6,40.0,0.4,1.4,0.95,58.0
dummy_image_0.png,1,19.0,19.0,19.0,13.0,39.0,0.0,0.0,0.0,54.2
dummy_image_0.png,1,4.0,4.0,4.0,18.0,39.0,0.0,0.0,0.0,57.2
dummy_image_0.png,1,93.0,93.0,93.0,30.0,39.0,0.0,0.0,0.0,39.4
dummy_image_0.png,2,46.0,23.0,46.0,36.5,39.0,0.5,0.5,0.5,53.4
dummy_image_0.png,5,51.4,6.0,71.0,6.8,40.4,0.45,1.26,0.85,56.8
dummy_image_0.png,2,42.0,0.0,42.0,10.5,40.0,0.5,0.5,0.5,58.0
dummy_image_0.png,18,55.61,7.0,70.0,15.67,41.83,0.37,3.76,2.02,56.6
dummy_image_0.png,3,84.67,63.0,95.0,28.67,40.33,0.47,0.75,0.65,45.4
